id,age,reading_speed,reading_accuracy,reading_comprehension,writing_speed,writing_quality,grammar_sentence,phonetic_spelling,irregular_word_spelling,spelling_accuracy,reading_avg,writing_avg,spelling_avg,primary_focus,secondary_focus,tertiary_focus,difficulty_level
1,10,89,52,57,51,85,73,80,45,92,66,70,72,Reading,Writing,Spelling,Mild
2,8,48,36,52,42,42,76,65,41,50,45,53,52,Reading,Spelling,Writing,Moderate
3,9,57,29,50,35,44,29,18,23,29,45,36,23,Spelling,Writing,Reading,Severe
4,10,52,91,48,64,47,49,33,57,64,64,53,51,Spelling,Writing,Reading,Moderate
5,8,71,95,40,51,55,45,74,58,84,69,50,72,Writing,Reading,Spelling,Mild
6,9,69,63,88,64,95,100,80,67,90,73,86,79,Reading,Spelling,Writing,Mild
7,8,40,48,38,35,53,59,62,33,68,42,49,54,Reading,Writing,Spelling,Moderate
8,8,50,37,49,33,40,53,27,44,60,45,42,44,Writing,Spelling,Reading,Moderate
9,11,40,27,28,23,43,50,39,32,59,32,39,43,Reading,Writing,Spelling,Moderate
10,9,29,19,30,31,55,41,1,56,0,26,42,19,Spelling,Reading,Writing,Severe
11,8,78,48,88,64,68,100,70,71,84,71,77,75,Reading,Spelling,Writing,Mild
12,11,20,27,24,34,12,33,0,22,17,24,26,13,Spelling,Reading,Writing,Profound
13,8,47,65,4,65,21,18,26,34,52,39,35,37,Writing,Spelling,Reading,Severe
14,11,20,29,38,53,42,12,43,31,59,29,36,44,Reading,Writing,Spelling,Severe
15,9,26,23,33,28,45,13,12,48,9,27,29,23,Spelling,Reading,Writing,Profound
16,8,30,71,58,50,19,12,35,50,47,53,27,44,Writing,Spelling,Reading,Severe
17,8,77,72,81,47,67,63,76,73,62,77,59,70,Writing,Spelling,Reading,Mild
18,8,100,100,93,70,54,72,93,45,51,98,65,63,Spelling,Writing,Reading,Mild
19,8,60,24,40,3,26,13,25,11,26,41,14,21,Writing,Spelling,Reading,Severe
20,9,58,94,55,67,55,56,95,95,67,69,59,86,Writing,Reading,Spelling,Mild
21,9,37,30,6,34,51,20,0,26,3,24,35,10,Spelling,Reading,Writing,Profound
22,9,24,53,42,67,43,62,42,63,73,40,57,59,Reading,Writing,Spelling,Moderate
23,8,72,48,82,62,87,80,43,58,70,67,76,57,Spelling,Reading,Writing,Mild
24,8,88,68,51,72,29,48,62,39,53,69,50,51,Writing,Spelling,Reading,Moderate
25,9,68,82,82,99,79,69,71,56,48,77,82,58,Spelling,Reading,Writing,Mild
26,8,63,40,41,29,52,27,80,45,53,48,36,59,Writing,Reading,Spelling,Moderate
27,10,17,29,43,24,36,79,42,12,72,30,46,42,Reading,Spelling,Writing,Moderate
28,10,43,5,31,39,33,0,16,21,38,26,24,25,Writing,Spelling,Reading,Profound
29,9,44,63,55,61,53,37,50,61,15,54,50,42,Spelling,Writing,Reading,Moderate
30,10,17,31,59,16,14,4,18,10,29,36,11,19,Writing,Spelling,Reading,Profound
31,10,45,36,30,2,13,0,46,1,20,37,5,22,Writing,Spelling,Reading,Profound
32,9,72,77,68,56,49,70,81,89,47,72,58,72,Writing,Reading,Spelling,Mild
33,9,3,7,14,14,21,18,0,21,30,8,18,17,Reading,Spelling,Writing,Profound
34,8,49,92,86,47,57,59,69,53,67,76,54,63,Writing,Spelling,Reading,Moderate
35,10,50,21,16,18,16,56,20,0,11,29,30,10,Spelling,Reading,Writing,Profound
36,11,33,30,71,59,39,15,42,57,14,45,38,38,Writing,Spelling,Reading,Severe
37,11,60,2,35,50,2,23,53,0,30,32,25,28,Writing,Spelling,Reading,Severe
38,11,30,29,29,24,13,31,25,24,20,29,23,23,Writing,Spelling,Reading,Profound
39,10,52,20,5,12,52,10,11,47,20,26,25,26,Writing,Reading,Spelling,Profound
40,10,44,52,28,74,78,41,48,76,58,41,64,61,Reading,Spelling,Writing,Moderate
41,12,6,33,70,38,24,0,34,9,34,36,21,26,Writing,Spelling,Reading,Severe
42,9,58,30,45,20,44,47,40,77,49,44,37,55,Writing,Reading,Spelling,Moderate
43,11,71,91,80,91,65,70,99,84,40,81,75,74,Spelling,Writing,Reading,Mild
44,11,75,95,79,58,81,82,50,52,63,83,74,55,Spelling,Writing,Reading,Mild
45,11,59,10,58,38,0,56,33,30,32,42,31,32,Writing,Spelling,Reading,Severe
46,8,85,67,96,84,97,38,73,100,90,83,73,88,Writing,Reading,Spelling,Mild
47,11,3,33,58,28,12,44,8,40,8,31,28,19,Spelling,Writing,Reading,Profound
48,12,53,48,73,59,42,59,68,51,64,58,53,61,Writing,Reading,Spelling,Moderate
49,11,73,90,75,64,69,67,69,73,60,79,67,67,Writing,Spelling,Reading,Mild
50,9,0,43,25,23,18,2,8,49,7,23,14,21,Writing,Spelling,Reading,Profound
51,10,29,10,30,16,15,26,36,30,29,23,19,32,Writing,Reading,Spelling,Profound
52,9,56,33,0,35,5,38,21,10,31,30,26,21,Spelling,Writing,Reading,Profound
53,8,29,32,15,26,0,13,23,42,15,25,13,27,Writing,Reading,Spelling,Profound
54,10,39,23,46,53,36,41,50,37,46,36,43,44,Reading,Writing,Spelling,Severe
55,9,44,65,80,35,63,35,72,32,52,63,44,52,Writing,Spelling,Reading,Moderate
56,9,65,39,22,39,4,3,14,32,46,42,15,31,Writing,Spelling,Reading,Severe
57,8,43,0,34,40,21,11,9,16,36,26,24,20,Spelling,Writing,Reading,Severe
58,9,27,22,36,45,55,63,57,51,45,28,54,51,Reading,Spelling,Writing,Moderate
59,10,69,59,95,75,71,100,89,72,80,74,82,80,Reading,Spelling,Writing,Mild
60,8,25,2,60,12,37,22,8,8,56,29,24,24,Writing,Spelling,Reading,Profound
61,10,29,25,75,25,18,12,0,63,57,43,18,40,Writing,Spelling,Reading,Severe
62,9,39,39,36,40,24,27,30,32,39,38,30,34,Writing,Spelling,Reading,Profound
