id,age,reading_speed,reading_accuracy,reading_comprehension,writing_speed,writing_quality,grammar_sentence,phonetic_spelling,irregular_word_spelling,spelling_accuracy,reading_avg,writing_avg,spelling_avg,primary_focus,secondary_focus,tertiary_focus,difficulty_level
1,6,90,68,80,51,59,54,69,70,68,79,55,69,Writing,Spelling,Reading,Mild
2,11,31,39,31,43,19,58,37,36,48,34,40,40,Reading,Writing,Spelling,Severe
3,11,0,40,8,23,13,6,12,36,13,16,14,20,Writing,Reading,Spelling,Profound
4,6,61,25,76,29,71,80,36,55,71,54,60,54,Reading,Spelling,Writing,Moderate
5,18,18,47,62,16,45,37,2,44,10,42,33,19,Spelling,Writing,Reading,Severe
6,16,31,28,32,16,12,36,46,20,20,30,21,29,Writing,Spelling,Reading,Profound
7,12,42,39,42,62,72,37,59,62,19,41,57,47,Reading,Spelling,Writing,Moderate
8,14,68,57,94,54,81,56,80,61,100,73,64,80,Writing,Reading,Spelling,Mild
9,18,77,66,64,60,58,31,18,71,51,69,50,47,Spelling,Writing,Reading,Moderate
10,9,65,53,52,48,60,70,33,73,62,57,59,56,Spelling,Reading,Writing,Moderate
11,6,69,83,63,76,84,54,89,68,88,72,71,82,Writing,Reading,Spelling,Mild
12,13,49,43,77,39,39,38,35,44,69,56,39,49,Writing,Spelling,Reading,Moderate
13,16,49,44,34,53,24,8,0,37,11,42,28,16,Spelling,Writing,Reading,Severe
14,8,32,10,9,39,9,15,9,40,0,17,21,16,Spelling,Reading,Writing,Profound
15,10,66,37,54,13,39,45,21,42,26,52,32,30,Spelling,Writing,Reading,Severe
16,6,67,56,58,25,69,32,37,35,54,60,42,42,Writing,Spelling,Reading,Moderate
17,10,68,48,27,45,37,44,51,45,56,48,42,51,Writing,Reading,Spelling,Moderate
18,14,60,57,65,46,53,63,26,33,63,61,54,41,Spelling,Writing,Reading,Moderate
19,15,26,45,40,14,41,28,51,20,7,37,28,26,Spelling,Writing,Reading,Profound
20,10,4,6,3,19,36,14,15,21,10,4,23,15,Reading,Spelling,Writing,Profound
21,18,64,50,58,46,36,46,59,55,39,57,43,51,Writing,Spelling,Reading,Moderate
22,16,61,65,100,74,86,57,80,63,89,75,72,77,Writing,Reading,Spelling,Mild
23,9,53,62,29,47,12,36,34,30,42,48,32,35,Writing,Spelling,Reading,Severe
24,16,40,13,21,22,21,37,39,33,0,25,27,24,Spelling,Reading,Writing,Profound
25,8,13,51,39,50,32,12,46,21,57,34,31,41,Writing,Reading,Spelling,Severe
26,16,39,17,39,13,30,4,33,35,46,32,16,38,Writing,Reading,Spelling,Profound
27,11,38,58,65,59,53,47,37,39,40,54,53,39,Spelling,Writing,Reading,Moderate
28,11,44,40,59,60,43,54,37,41,30,48,52,36,Spelling,Reading,Writing,Severe
29,14,9,18,15,0,31,15,29,21,14,14,15,21,Reading,Writing,Spelling,Profound
30,16,23,43,23,28,0,15,45,13,30,30,14,29,Writing,Spelling,Reading,Profound
31,18,25,37,49,38,42,32,41,35,31,37,37,36,Spelling,Reading,Writing,Severe
32,8,42,30,46,16,33,18,25,22,9,39,22,19,Spelling,Writing,Reading,Profound
33,7,28,44,35,41,31,15,49,38,3,36,29,30,Writing,Spelling,Reading,Severe
34,16,45,65,48,51,27,41,53,19,73,53,40,48,Writing,Spelling,Reading,Moderate
35,14,4,11,12,31,15,28,30,40,17,9,25,29,Reading,Writing,Spelling,Profound
36,9,75,61,26,45,35,69,46,43,35,54,50,41,Spelling,Writing,Reading,Moderate
37,17,69,48,55,91,64,74,83,65,87,57,76,78,Reading,Writing,Spelling,Mild
38,15,73,66,69,37,30,46,31,53,53,69,38,46,Writing,Spelling,Reading,Moderate
39,9,44,5,15,24,24,22,14,28,2,21,23,15,Spelling,Reading,Writing,Profound
40,8,81,92,53,63,51,63,61,54,88,75,59,68,Writing,Spelling,Reading,Mild
41,10,35,57,22,59,59,42,35,24,32,38,53,30,Spelling,Reading,Writing,Moderate
42,6,59,71,79,30,60,25,33,53,59,70,38,48,Writing,Spelling,Reading,Moderate
43,10,2,12,17,17,32,35,11,32,36,10,28,26,Reading,Spelling,Writing,Profound
44,10,82,85,84,66,83,81,52,94,92,84,77,79,Writing,Spelling,Reading,Mild
45,12,41,28,8,37,18,31,0,17,28,26,29,15,Spelling,Reading,Writing,Profound
46,18,41,29,20,15,20,22,0,34,29,30,19,21,Writing,Spelling,Reading,Profound
47,8,33,20,28,39,45,51,26,37,3,27,45,22,Spelling,Reading,Writing,Severe
48,18,2,22,25,6,29,20,11,42,1,16,18,18,Reading,Writing,Spelling,Profound
49,8,27,12,25,9,43,32,17,16,31,21,28,21,Reading,Spelling,Writing,Profound
50,16,52,40,38,41,42,42,59,29,41,43,42,43,Writing,Reading,Spelling,Severe
51,18,59,47,79,72,42,52,40,38,46,62,55,41,Spelling,Writing,Reading,Moderate
52,17,19,32,43,23,16,53,48,40,37,31,31,42,Reading,Writing,Spelling,Severe
53,11,50,37,57,57,40,19,37,58,25,48,39,40,Writing,Spelling,Reading,Moderate
54,13,82,73,87,53,75,73,67,64,83,81,67,71,Writing,Spelling,Reading,Mild
55,13,43,32,62,21,18,18,25,34,1,46,19,20,Writing,Spelling,Reading,Severe
56,13,60,53,35,32,46,70,75,39,22,49,49,45,Spelling,Reading,Writing,Moderate
57,16,8,46,14,4,8,12,22,9,3,23,8,11,Writing,Spelling,Reading,Profound
58,10,30,26,29,15,28,29,35,48,43,28,24,42,Writing,Reading,Spelling,Severe
