id,age,reading_speed,reading_accuracy,reading_comprehension,writing_speed,writing_quality,grammar_sentence,phonetic_spelling,irregular_word_spelling,spelling_accuracy,reading_avg,writing_avg,spelling_avg,primary_focus,secondary_focus,tertiary_focus,difficulty_level
1,11,67,40,30,46,65,50,21,47,47,46,54,38,Spelling,Reading,Writing,Moderate
2,10,95,76,97,45,79,82,65,68,81,89,69,71,Writing,Spelling,Reading,Mild
3,8,14,12,16,0,0,17,22,50,16,14,6,29,Writing,Reading,Spelling,Profound
4,6,17,26,50,14,9,54,10,4,38,31,26,17,Spelling,Writing,Reading,Severe
5,7,29,30,9,42,19,27,15,7,8,23,29,10,Spelling,Reading,Writing,Profound
6,11,23,31,47,51,24,48,47,50,8,34,41,35,Reading,Spelling,Writing,Severe
7,8,24,48,30,35,12,23,16,52,30,34,23,33,Writing,Spelling,Reading,Severe
8,10,38,60,36,71,58,73,35,44,53,45,67,44,Spelling,Reading,Writing,Moderate
9,7,35,77,77,60,70,50,46,13,44,63,60,34,Spelling,Writing,Reading,Moderate
10,10,0,14,20,7,16,8,22,19,15,11,10,19,Writing,Reading,Spelling,Profound
11,9,43,32,34,55,14,13,32,38,30,36,27,33,Writing,Spelling,Reading,Severe
12,6,91,49,87,65,77,58,86,52,73,76,67,70,Writing,Spelling,Reading,Mild
13,7,82,62,52,83,55,65,98,86,75,65,68,86,Reading,Writing,Spelling,Mild
14,12,74,75,61,38,19,27,40,31,36,70,28,36,Writing,Spelling,Reading,Moderate
15,9,0,19,35,8,21,0,37,35,47,18,10,40,Writing,Reading,Spelling,Profound
16,12,17,39,3,21,32,18,9,27,35,20,24,24,Reading,Writing,Spelling,Profound
17,11,23,26,1,13,15,14,32,0,33,17,14,22,Writing,Reading,Spelling,Profound
18,6,68,52,52,25,57,29,44,23,52,57,37,40,Writing,Spelling,Reading,Moderate
19,11,37,49,66,32,39,38,52,44,47,51,36,48,Writing,Spelling,Reading,Moderate
